1712,297
1659,291
1608,288
1561,287
1517,287
1477,287
1438,287
1403,289
1369,289
1334,290
1305,293
1277,294
1248,296
1221,297
1195,301
1169,304
1147,307
1121,311
1099,314
1079,318
1057,323

258,137
307,143
353,150
397,156
437,163
477,171
517,178
550,186
586,193
621,202
649,210
680,218
708,226
735,233
762,243
791,254
815,262
839,273
865,283
886,293
909,303
930,313
946,323
969,333
987,345
1006,357
1024,368
1041,379
1059,392
1076,405
1093,416
1111,430
1125,443
1138,454
1154,468

1231,300
1200,304
1169,309
1142,313
1008,346
986,320
967,299
945,273
928,255
912,236
896,219
880,202
864,186
851,172
837,159
824,146
810,134
798,123
788,113
776,103
766,95

1118,367
1092,373
990,311
947,255
930,234
911,212
894,192
879,173
864,155
849,137
836,122
822,106
810,92
797,79
784,65
773,54
762,43
752,33
741,22
730,13
721,4

882,58
893,51
900,47
914,38
926,32
937,28
946,25
955,22
964,20
975,18
983,16
986,20
1000,17
1009,18
1016,19
1021,19
1033,24
1039,27
1047,30
1055,34
1062,39
1069,43
1076,48
1083,54
1090,60
1097,68
1103,74
1110,81
1115,89
1121,98
1128,105
1134,116
1139,125
1145,135
1150,146
1157,157
1161,167
1166,179
1171,189
1176,201
1181,213
1185,225
1190,238
1194,250
1199,263
1203,277
1208,293
1211,304
1213,316
1219,330

829,315
847,310
868,307
886,304
903,302
923,299
940,298
957,297
966,265
989,296
1008,298
1022,299
1036,300
1052,303
1066,305
1079,308
1093,311
1107,314
1120,319
1134,323
1147,328
1158,333

